Gap_Thresh,Breadth_Thresh,Filter,Trades,WinRate,Gross_Ret,Net_Ret
1.0%,40%,ALL,233,64.8%,23.4%,11.20%
0.4%,50%,ALL,465,62.2%,33.7%,9.11%
1.0%,40%,EXCLUDE_GAP_DOWN,236,63.1%,21.2%,8.84%
0.4%,70%,ALL,257,63.0%,22.2%,8.80%
0.8%,30%,ALL,415,62.2%,30.0%,8.04%
0.6%,70%,ALL,189,62.4%,17.0%,7.26%
0.8%,60%,ALL,189,62.4%,17.0%,7.26%
1.0%,50%,ALL,189,62.4%,17.0%,7.26%
0.6%,40%,ALL,448,62.1%,30.4%,6.57%
0.6%,60%,ALL,287,63.4%,21.6%,6.56%
0.4%,50%,EXCLUDE_GAP_DOWN,472,61.4%,31.6%,6.56%
0.8%,50%,ALL,287,63.4%,21.6%,6.56%
0.6%,30%,ALL,493,61.5%,32.6%,6.53%
0.4%,70%,EXCLUDE_GAP_DOWN,260,61.5%,20.1%,6.44%
1.0%,60%,ALL,142,63.4%,12.9%,5.51%
0.8%,30%,EXCLUDE_GAP_DOWN,422,61.4%,27.9%,5.48%
0.6%,60%,EXCLUDE_GAP_DOWN,289,62.3%,20.7%,5.43%
0.8%,50%,EXCLUDE_GAP_DOWN,289,62.3%,20.7%,5.43%
1.0%,70%,ALL,110,63.6%,11.0%,5.42%
0.6%,80%,ALL,110,63.6%,11.0%,5.42%
0.6%,80%,EXCLUDE_GAP_DOWN,110,63.6%,11.0%,5.42%
1.0%,70%,EXCLUDE_GAP_DOWN,110,63.6%,11.0%,5.42%
0.6%,50%,ALL,397,61.7%,26.3%,5.16%
0.8%,40%,ALL,337,61.1%,22.9%,5.14%
1.0%,30%,ALL,337,61.1%,22.9%,5.14%
0.4%,80%,ALL,132,62.1%,11.6%,4.98%
0.8%,70%,EXCLUDE_GAP_DOWN,132,62.1%,11.6%,4.98%
0.8%,70%,ALL,132,62.1%,11.6%,4.98%
0.4%,80%,EXCLUDE_GAP_DOWN,132,62.1%,11.6%,4.98%
0.6%,70%,EXCLUDE_GAP_DOWN,192,60.4%,14.9%,4.90%
1.0%,50%,EXCLUDE_GAP_DOWN,192,60.4%,14.9%,4.90%
0.8%,60%,EXCLUDE_GAP_DOWN,192,60.4%,14.9%,4.90%
0.6%,50%,EXCLUDE_GAP_DOWN,399,60.9%,25.3%,4.02%
0.6%,40%,EXCLUDE_GAP_DOWN,455,61.3%,28.3%,4.01%
1.0%,30%,EXCLUDE_GAP_DOWN,339,60.2%,22.0%,4.00%
0.8%,40%,EXCLUDE_GAP_DOWN,339,60.2%,22.0%,4.00%
0.6%,30%,EXCLUDE_GAP_DOWN,500,60.8%,30.5%,3.98%
0.4%,60%,ALL,430,61.6%,26.7%,3.69%
0.6%,80%,ONLY_GAP_UP,88,62.5%,8.3%,3.68%
1.0%,60%,EXCLUDE_GAP_DOWN,144,61.1%,11.2%,3.66%
0.4%,60%,EXCLUDE_GAP_DOWN,432,60.9%,25.7%,2.55%
0.4%,40%,ALL,547,60.0%,29.8%,0.81%
0.8%,80%,ALL,56,55.4%,3.2%,0.26%
1.0%,80%,EXCLUDE_GAP_DOWN,56,55.4%,3.2%,0.26%
0.8%,80%,EXCLUDE_GAP_DOWN,56,55.4%,3.2%,0.26%
1.0%,80%,ALL,56,55.4%,3.2%,0.26%
0.4%,40%,EXCLUDE_GAP_DOWN,554,59.4%,28.4%,-1.06%
0.4%,80%,ONLY_GAP_UP,99,58.6%,4.0%,-1.18%
0.8%,70%,ONLY_GAP_UP,96,59.4%,3.8%,-1.29%
1.0%,80%,ONLY_GAP_UP,53,52.8%,1.0%,-1.87%
0.8%,80%,ONLY_GAP_UP,53,52.8%,1.0%,-1.87%
1.0%,70%,ONLY_GAP_UP,86,58.1%,2.6%,-2.02%
0.6%,60%,ONLY_GAP_UP,225,60.4%,9.1%,-2.85%
0.6%,70%,ONLY_GAP_UP,146,58.9%,4.3%,-3.50%
1.0%,60%,ONLY_GAP_UP,113,57.5%,2.2%,-3.91%
0.8%,50%,ONLY_GAP_UP,215,60.5%,7.4%,-3.98%
0.6%,50%,ONLY_GAP_UP,332,59.6%,13.5%,-4.34%
0.8%,30%,ONLY_GAP_UP,327,59.3%,12.6%,-4.85%
0.4%,60%,ONLY_GAP_UP,381,59.6%,14.8%,-5.89%
0.6%,40%,ONLY_GAP_UP,372,58.3%,14.0%,-6.08%
0.8%,60%,ONLY_GAP_UP,141,58.2%,0.9%,-6.62%
1.0%,40%,ONLY_GAP_UP,175,57.1%,2.1%,-7.25%
0.4%,70%,ONLY_GAP_UP,207,57.5%,3.2%,-7.83%
0.4%,30%,ALL,659,57.7%,26.7%,-8.52%
0.8%,40%,ONLY_GAP_UP,252,57.9%,4.8%,-8.55%
1.0%,50%,ONLY_GAP_UP,141,55.3%,-2.9%,-10.51%
0.4%,30%,EXCLUDE_GAP_DOWN,661,57.2%,24.8%,-10.61%
1.0%,30%,ONLY_GAP_UP,237,55.7%,1.8%,-10.82%
0.6%,30%,ONLY_GAP_UP,409,58.4%,10.5%,-11.60%
0.4%,50%,ONLY_GAP_UP,415,58.1%,8.4%,-14.21%
0.4%,40%,ONLY_GAP_UP,478,56.7%,5.4%,-20.64%
0.4%,30%,ONLY_GAP_UP,531,55.0%,-0.3%,-29.34%
