sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
SRF,SHORT,2400.0,2411.9999999999995,208,-2495.9999999999054,-2672.6584584959055,SL,2022-01-06 11:45:00+05:30,2022-01-06 15:00:00+05:30
SRF,LONG,2377.5,2353.725,204,-4850.100000000019,-5019.654519797418,SL,2022-01-07 09:30:00+05:30,2022-01-07 09:35:00+05:30
GLENMARK,LONG,516.6,514.15,941,-2305.4500000000426,-2476.1242979795425,EMA50_DYN,2022-01-07 10:25:00+05:30,2022-01-07 10:55:00+05:30
PAGEIND,LONG,43617.0,43984.238399999995,11,4039.622399999942,3869.3642673148797,TSL,2022-01-07 11:00:00+05:30,2022-01-07 15:10:00+05:30
VOLTAS,SHORT,1215.65,1221.72825,385,-2340.126249999922,-2505.7524903889544,SL,2022-01-21 11:50:00+05:30,2022-01-21 12:00:00+05:30
VOLTAS,SHORT,1211.65,1197.0503999999999,386,5635.445600000092,5472.217903253598,TSL,2022-01-21 13:55:00+05:30,2022-01-21 15:10:00+05:30
TVSMOTOR,SHORT,603.25,606.2662499999999,801,-2416.0162499999196,-2587.013728536092,SL,2022-01-27 11:55:00+05:30,2022-01-27 12:50:00+05:30
RECLTD,LONG,103.05,102.45,4564,-2738.399999999974,-2903.381493851974,EMA50_DYN,2022-01-28 10:50:00+05:30,2022-01-28 13:45:00+05:30
PAGEIND,LONG,42980.95,42551.140499999994,10,-4298.09500000003,-4448.351991354561,SL,2022-01-28 14:05:00+05:30,2022-01-28 14:15:00+05:30
BATAINDIA,LONG,2074.95,2075.65,226,158.20000000006166,-7.1236636455383575,EOD,2022-01-28 15:00:00+05:30,2022-01-28 15:15:00+05:30
GMRAIRPORT,LONG,41.75,42.1,10385,3634.7500000000146,3480.8957047115146,EOD,2022-01-31 11:00:00+05:30,2022-01-31 15:15:00+05:30
SHRIRAMFIN,SHORT,223.35,218.75,2019,9287.399999999989,9131.122304022589,RSI_EXIT,2022-03-02 12:10:00+05:30,2022-03-02 12:55:00+05:30
ASHOKLEY,SHORT,56.0,56.279999999999994,8053,-2254.839999999952,-2414.429967369792,SL,2022-03-02 14:15:00+05:30,2022-03-02 14:40:00+05:30
