sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
SRF,LONG,2377.5,2400.2,210,4766.999999999962,4589.665088357961,EMA50_DYN,2022-01-07 09:30:00+05:30,2022-01-07 09:55:00+05:30
GLENMARK,LONG,516.6,514.15,967,-2369.150000000044,-2544.540059666544,EMA50_DYN,2022-01-07 10:25:00+05:30,2022-01-07 10:55:00+05:30
PAGEIND,LONG,43617.0,44117.255249999995,11,5502.807749999942,5332.130815624891,TSL,2022-01-07 11:00:00+05:30,2022-01-07 15:05:00+05:30
RECLTD,LONG,103.05,102.45,5209,-3125.3999999999705,-3313.6972395869707,EMA50_DYN,2022-01-28 10:50:00+05:30,2022-01-28 13:45:00+05:30
PAGEIND,LONG,42980.95,42465.1786,12,-6189.256799999974,-6369.269935255937,SL,2022-01-28 14:05:00+05:30,2022-01-28 14:15:00+05:30
BATAINDIA,LONG,2074.95,2075.65,258,180.6000000000704,-8.132323984729652,EOD,2022-01-28 15:00:00+05:30,2022-01-28 15:15:00+05:30
GMRAIRPORT,LONG,41.75,42.1,11698,4094.3000000000166,3920.9935439302167,EOD,2022-01-31 11:00:00+05:30,2022-01-31 15:15:00+05:30
SHRIRAMFIN,SHORT,223.35,218.88299999999998,2274,10157.95800000003,9981.855841035738,PARTIAL_PROFIT,2022-03-02 12:10:00+05:30,2022-03-02 12:50:00+05:30
ASHOKLEY,SHORT,56.0,56.279999999999994,9072,-2540.1599999999457,-2719.943954300106,SL,2022-03-02 14:15:00+05:30,2022-03-02 14:40:00+05:30
COFORGE,LONG,920.0,937.0,591,10047.0,9852.489085938,EOD,2022-03-03 10:55:00+05:30,2022-03-03 15:15:00+05:30
BANKBARODA,SHORT,93.1,93.56549999999999,6376,-2968.0279999999466,-3178.0950077134744,SL,2022-03-04 11:05:00+05:30,2022-03-04 12:40:00+05:30
GODREJPROP,SHORT,1392.45,1377.9052499999998,414,6021.526500000104,5820.070497460492,TSL,2022-03-07 12:15:00+05:30,2022-03-07 13:45:00+05:30
TATAPOWER,SHORT,213.6,214.66799999999998,2704,-2887.8719999999557,-3092.2658364798276,SL,2022-03-07 14:15:00+05:30,2022-03-07 14:30:00+05:30
AUBANK,LONG,556.5,564.81175,1062,8827.078499999958,8616.251771273217,TSL,2022-03-09 10:25:00+05:30,2022-03-09 13:00:00+05:30
APOLLOTYRE,LONG,174.9,178.55274999999997,3381,12349.947749999896,12137.995000776404,TSL,2022-03-09 13:05:00+05:30,2022-03-09 14:30:00+05:30
APOLLOTYRE,LONG,178.5,176.358,3312,-7094.303999999986,-7300.6402285272825,SL,2022-03-09 14:35:00+05:30,2022-03-09 15:00:00+05:30
CONCOR,LONG,477.8,476.0,1378,-2480.4000000000156,-2711.7474024264156,EMA50_DYN,2022-03-10 10:35:00+05:30,2022-03-10 13:55:00+05:30
JINDALSTEL,LONG,458.15,470.55,1437,17818.80000000005,17581.658951130652,EOD,2022-03-10 14:00:00+05:30,2022-03-10 15:15:00+05:30
SHRIRAMFIN,LONG,222.9,221.5,3288,-4603.200000000019,-4860.192823507219,EMA50_DYN,2022-03-16 10:40:00+05:30,2022-03-16 11:10:00+05:30
BATAINDIA,LONG,1899.35,1895.05,385,-1655.4999999999825,-1912.7565897439824,EMA50_DYN,2022-03-16 11:15:00+05:30,2022-03-16 14:40:00+05:30
ASHOKLEY,LONG,55.15,55.3,13290,1993.4999999999811,1734.6020060069811,EOD,2022-03-16 14:45:00+05:30,2022-03-16 15:15:00+05:30
CONCOR,LONG,495.15,494.0,1429,-1643.3499999999676,-1892.2638630490676,EMA50_DYN,2022-03-17 10:10:00+05:30,2022-03-17 13:40:00+05:30
IDFCFIRSTB,LONG,42.8,42.55,16536,-4134.0,-4382.2614021576,EMA50_DYN,2022-03-17 13:45:00+05:30,2022-03-17 14:40:00+05:30
ESCORTS,LONG,1841.7,1837.0,384,-1804.8000000000175,-2053.5419851008173,EMA50_DYN,2022-03-17 14:45:00+05:30,2022-03-17 15:15:00+05:30
AUBANK,LONG,616.5,618.9,1080,2591.9999999999754,2356.5885115679753,EOD,2022-03-23 11:05:00+05:30,2022-03-23 15:15:00+05:30
GLENMARK,LONG,466.0,463.75,1454,-3271.5,-3509.372398569,EMA50_DYN,2022-03-25 10:00:00+05:30,2022-03-25 10:35:00+05:30
TATAPOWER,LONG,243.05,240.7,2789,-6554.150000000063,-6791.1894178975635,EMA50_DYN,2022-03-25 10:55:00+05:30,2022-03-25 12:05:00+05:30
BATAINDIA,LONG,1941.4,1936.5,349,-1710.1000000000317,-1948.4138840846317,EMA50_DYN,2022-03-25 12:10:00+05:30,2022-03-25 13:40:00+05:30
BANKBARODA,LONG,100.75,100.25,6728,-3364.0,-3601.945314128,EMA50_DYN,2022-03-25 13:45:00+05:30,2022-03-25 14:10:00+05:30
CONCOR,LONG,554.3,553.5,1223,-978.3999999999444,-1217.0503041043444,EOD,2022-03-25 14:15:00+05:30,2022-03-25 15:15:00+05:30
