sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t,exit_date,year,month
SRF,LONG,2377.5,2400.2,42,953.3999999999924,917.9330176715923,EMA50_DYN,2022-01-07 09:30:00+05:30,2022-01-07 09:55:00+05:30,2022-01-07,2022,2022-01
GLENMARK,LONG,516.6,514.15,193,-472.8500000000088,-507.8554617535088,EMA50_DYN,2022-01-07 10:25:00+05:30,2022-01-07 10:55:00+05:30,2022-01-07,2022,2022-01
PAGEIND,LONG,43617.0,44117.255249999995,2,1000.5104999999894,969.4783301136164,TSL,2022-01-07 11:00:00+05:30,2022-01-07 15:05:00+05:30,2022-01-07,2022,2022-01
RECLTD,LONG,103.05,102.45,970,-581.9999999999945,-617.0639897099945,EMA50_DYN,2022-01-28 10:50:00+05:30,2022-01-28 13:45:00+05:30,2022-01-28,2022,2022-01
PAGEIND,LONG,42980.95,42465.1786,2,-1031.5427999999956,-1061.544989209323,SL,2022-01-28 14:05:00+05:30,2022-01-28 14:15:00+05:30,2022-01-28,2022,2022-01
BATAINDIA,LONG,2074.95,2075.65,48,33.6000000000131,-1.5129905087868991,EOD,2022-01-28 15:00:00+05:30,2022-01-28 15:15:00+05:30,2022-01-28,2022,2022-01
GMRAIRPORT,LONG,41.75,42.1,2395,838.2500000000034,802.7679550105034,EOD,2022-01-31 11:00:00+05:30,2022-01-31 15:15:00+05:30,2022-01-31,2022,2022-01
SHRIRAMFIN,SHORT,223.35,218.88299999999998,447,1996.7490000000057,1962.1326125518797,PARTIAL_PROFIT,2022-03-02 12:10:00+05:30,2022-03-02 12:50:00+05:30,2022-03-02,2022,2022-03
ASHOKLEY,SHORT,56.0,56.279999999999994,1785,-499.7999999999893,-535.1741576747893,SL,2022-03-02 14:15:00+05:30,2022-03-02 14:40:00+05:30,2022-03-02,2022,2022-03
COFORGE,LONG,920.0,937.0,108,1836.0,1800.454858344,EOD,2022-03-03 10:55:00+05:30,2022-03-03 15:15:00+05:30,2022-03-03,2022,2022-03
GODREJPROP,SHORT,1392.45,1377.9052499999998,71,1032.6772500000177,998.1280321731762,TSL,2022-03-07 12:15:00+05:30,2022-03-07 13:45:00+05:30,2022-03-07,2022,2022-03
AUBANK,LONG,556.5,564.81175,179,1487.803249999993,1452.2684247249585,TSL,2022-03-09 10:25:00+05:30,2022-03-09 13:00:00+05:30,2022-03-09,2022,2022-03
APOLLOTYRE,LONG,174.9,178.55274999999997,571,2085.720249999982,2049.9246215449057,TSL,2022-03-09 13:05:00+05:30,2022-03-09 14:30:00+05:30,2022-03-09,2022,2022-03
APOLLOTYRE,LONG,178.5,176.358,560,-1199.5199999999977,-1234.4077681084777,SL,2022-03-09 14:35:00+05:30,2022-03-09 15:00:00+05:30,2022-03-09,2022,2022-03
CONCOR,LONG,477.8,476.0,209,-376.2000000000024,-411.2882489892024,EMA50_DYN,2022-03-10 10:35:00+05:30,2022-03-10 13:55:00+05:30,2022-03-10,2022,2022-03
JINDALSTEL,LONG,458.15,470.55,218,2703.2000000000075,2667.2245312084074,EOD,2022-03-10 14:00:00+05:30,2022-03-10 15:15:00+05:30,2022-03-10,2022,2022-03
SHRIRAMFIN,LONG,222.9,221.5,448,-627.2000000000025,-662.2160538112025,EMA50_DYN,2022-03-16 10:40:00+05:30,2022-03-16 11:10:00+05:30,2022-03-16,2022,2022-03
BATAINDIA,LONG,1899.35,1895.05,52,-223.59999999999764,-258.34634458879765,EMA50_DYN,2022-03-16 11:15:00+05:30,2022-03-16 14:40:00+05:30,2022-03-16,2022,2022-03
ASHOKLEY,LONG,55.15,55.3,1813,271.94999999999743,236.63156033789744,EOD,2022-03-16 14:45:00+05:30,2022-03-16 15:15:00+05:30,2022-03-16,2022,2022-03
CONCOR,LONG,495.15,494.0,201,-231.14999999999543,-266.16167702789545,EMA50_DYN,2022-03-17 10:10:00+05:30,2022-03-17 13:40:00+05:30,2022-03-17,2022,2022-03
IDFCFIRSTB,LONG,42.8,42.55,2336,-584.0,-619.0712769376,EMA50_DYN,2022-03-17 13:45:00+05:30,2022-03-17 14:40:00+05:30,2022-03-17,2022,2022-03
ESCORTS,LONG,1841.7,1837.0,54,-253.80000000000246,-288.77934165480247,EMA50_DYN,2022-03-17 14:45:00+05:30,2022-03-17 15:15:00+05:30,2022-03-17,2022,2022-03
AUBANK,LONG,616.5,618.9,162,388.7999999999963,353.48827673519634,EOD,2022-03-23 11:05:00+05:30,2022-03-23 15:15:00+05:30,2022-03-23,2022,2022-03
GLENMARK,LONG,466.0,463.75,214,-481.5,-516.510105429,EMA50_DYN,2022-03-25 10:00:00+05:30,2022-03-25 10:35:00+05:30,2022-03-25,2022,2022-03
TATAPOWER,LONG,243.05,240.7,411,-965.8500000000093,-1000.7812301025093,EMA50_DYN,2022-03-25 10:55:00+05:30,2022-03-25 12:05:00+05:30,2022-03-25,2022,2022-03
BATAINDIA,LONG,1941.4,1936.5,51,-249.90000000000464,-284.72523807540466,EMA50_DYN,2022-03-25 12:10:00+05:30,2022-03-25 13:40:00+05:30,2022-03-25,2022,2022-03
BANKBARODA,LONG,100.75,100.25,992,-496.0,-531.083494592,EMA50_DYN,2022-03-25 13:45:00+05:30,2022-03-25 14:10:00+05:30,2022-03-25,2022,2022-03
CONCOR,LONG,554.3,553.5,180,-143.99999999999181,-179.12432930399183,EOD,2022-03-25 14:15:00+05:30,2022-03-25 15:15:00+05:30,2022-03-25,2022,2022-03
GMRAIRPORT,LONG,36.4,36.76525,2747,1003.3417500000087,967.8126100626732,TSL,2022-03-29 10:30:00+05:30,2022-03-29 14:35:00+05:30,2022-03-29,2022,2022-03
BEL,LONG,69.25,69.15,1444,-144.3999999999918,-179.6028116095918,EMA50_DYN,2022-03-29 14:40:00+05:30,2022-03-29 15:10:00+05:30,2022-03-29,2022,2022-03
GMRAIRPORT,LONG,37.45,37.000600000000006,2670,-1199.8979999999924,-1234.7967621530445,SL,2022-03-30 10:45:00+05:30,2022-03-30 11:20:00+05:30,2022-03-30,2022,2022-03
BHARATFORG,LONG,723.05,716.2,138,-945.2999999999874,-980.1974083289874,EMA50_DYN,2022-03-30 11:25:00+05:30,2022-03-30 12:05:00+05:30,2022-03-30,2022,2022-03
ASHOKLEY,LONG,55.6,55.2,1798,-719.1999999999974,-754.2283497583974,EMA50_DYN,2022-03-30 12:10:00+05:30,2022-03-30 12:50:00+05:30,2022-03-30,2022,2022-03
COFORGE,LONG,893.5,905.0,111,1276.5,1241.178971829,EOD,2022-03-30 12:55:00+05:30,2022-03-30 15:15:00+05:30,2022-03-30,2022,2022-03
RECLTD,LONG,96.25,98.4,1038,2231.7000000000057,2195.848631245806,EOD,2022-04-04 10:45:00+05:30,2022-04-04 15:15:00+05:30,2022-04-04,2022,2022-04
GMRAIRPORT,LONG,39.65,39.4,2522,-630.5,-665.5637828866,EMA50_DYN,2022-04-05 10:35:00+05:30,2022-04-05 11:40:00+05:30,2022-04-05,2022,2022-04
ASHOKLEY,LONG,59.2,58.9,1689,-506.7000000000072,-541.7962218234072,EMA50_DYN,2022-04-05 11:45:00+05:30,2022-04-05 14:10:00+05:30,2022-04-05,2022,2022-04
ESCORTS,LONG,1804.45,1850.45,55,2530.0,2494.296837593,EOD,2022-04-05 14:15:00+05:30,2022-04-05 15:15:00+05:30,2022-04-05,2022,2022-04
PAGEIND,LONG,44730.0,45060.0,2,660.0,628.28073492,EOD,2022-04-08 10:35:00+05:30,2022-04-08 15:15:00+05:30,2022-04-08,2022,2022-04
BEL,LONG,85.75,85.85,1166,116.59999999999337,81.32688905439338,EMA50_DYN,2022-04-19 10:35:00+05:30,2022-04-19 14:25:00+05:30,2022-04-19,2022,2022-04
CANBK,LONG,45.23,44.687239999999996,2210,-1199.4996000000028,-1234.3867747790932,SL,2022-04-19 14:30:00+05:30,2022-04-19 14:55:00+05:30,2022-04-19,2022,2022-04
LICHSGFIN,LONG,374.9,370.40119999999996,266,-1196.6808000000046,-1231.485990618144,SL,2022-04-19 15:00:00+05:30,2022-04-19 15:05:00+05:30,2022-04-19,2022,2022-04
ASHOKLEY,LONG,61.3,61.0,1631,-489.29999999999535,-524.3982063137953,EMA50_DYN,2022-04-20 10:15:00+05:30,2022-04-20 11:30:00+05:30,2022-04-20,2022,2022-04
LICHSGFIN,LONG,371.85,371.2,268,-174.20000000000914,-209.27402545240915,EMA50_DYN,2022-04-20 12:35:00+05:30,2022-04-20 13:15:00+05:30,2022-04-20,2022,2022-04
CUMMINSIND,LONG,1085.45,1105.19625,92,1816.6549999999925,1780.9386759531624,TSL,2022-04-20 13:20:00+05:30,2022-04-20 15:05:00+05:30,2022-04-20,2022,2022-04
CUMMINSIND,SHORT,999.3,998.5,100,79.99999999999545,44.80236971999545,EOD,2022-04-25 12:20:00+05:30,2022-04-25 15:15:00+05:30,2022-04-25,2022,2022-04
ESCORTS,LONG,1607.75,1598.75,62,-558.0,-592.972877478,EMA50_DYN,2022-04-26 10:45:00+05:30,2022-04-26 13:10:00+05:30,2022-04-26,2022,2022-04
BALKRISIND,LONG,2090.35,2132.285,47,1970.9449999999974,1935.7537065010274,TSL,2022-04-26 13:15:00+05:30,2022-04-26 15:05:00+05:30,2022-04-26,2022,2022-04
AUBANK,LONG,693.9,706.45,144,1807.2000000000098,1771.46516460961,EOD,2022-04-28 11:40:00+05:30,2022-04-28 15:15:00+05:30,2022-04-28,2022,2022-04
RBLBANK,LONG,122.15,120.6842,818,-1199.0244000000012,-1233.8977536944867,SL,2022-05-04 11:05:00+05:30,2022-05-04 12:30:00+05:30,2022-05-04,2022,2022-05
CONCOR,LONG,520.5,515.8,192,-902.4000000000087,-937.3643527296088,EMA50_DYN,2022-05-04 13:25:00+05:30,2022-05-04 14:10:00+05:30,2022-05-04,2022,2022-05
MFSL,LONG,732.5,728.5,136,-544.0,-578.955561296,EMA50_DYN,2022-05-05 10:30:00+05:30,2022-05-05 13:05:00+05:30,2022-05-05,2022,2022-05
APOLLOTYRE,LONG,203.25,202.2,492,-516.6000000000056,-551.6969831964055,EMA50_DYN,2022-05-05 13:10:00+05:30,2022-05-05 13:55:00+05:30,2022-05-05,2022,2022-05
SRF,SHORT,2299.0,2310.495,43,-494.2849999999953,-529.2688245824053,SL,2022-05-06 11:20:00+05:30,2022-05-06 11:20:00+05:30,2022-05-06,2022,2022-05
GODREJPROP,SHORT,1422.0,1429.11,70,-497.699999999993,-532.925526760193,SL,2022-05-06 12:40:00+05:30,2022-05-06 12:45:00+05:30,2022-05-06,2022,2022-05
GODREJPROP,SHORT,1416.05,1423.1302499999997,70,-495.61749999998256,-530.6956344365376,SL,2022-05-06 13:10:00+05:30,2022-05-06 13:25:00+05:30,2022-05-06,2022,2022-05
BALKRISIND,LONG,1962.75,1944.85,50,-895.0000000000045,-929.3325858800046,EMA50_DYN,2022-05-11 11:40:00+05:30,2022-05-11 13:10:00+05:30,2022-05-11,2022,2022-05
GODREJPROP,LONG,1374.0,1390.811,72,1210.3919999999944,1175.1781828834023,TSL,2022-05-11 13:40:00+05:30,2022-05-11 14:30:00+05:30,2022-05-11,2022,2022-05
AUBANK,LONG,636.2,637.8,157,251.19999999998572,215.92399593198573,EOD,2022-05-11 14:35:00+05:30,2022-05-11 15:15:00+05:30,2022-05-11,2022,2022-05
SHRIRAMFIN,LONG,216.75,216.5,461,-115.25,-150.4346330845,EMA50_DYN,2022-05-13 10:40:00+05:30,2022-05-13 14:00:00+05:30,2022-05-13,2022,2022-05
BANKINDIA,LONG,43.2,42.6816,2314,-1199.5775999999994,-1234.4670433914619,SL,2022-05-13 14:05:00+05:30,2022-05-13 14:20:00+05:30,2022-05-13,2022,2022-05
RECLTD,LONG,86.5,86.5,1156,0.0,-35.243085288,EMA50_DYN,2022-05-16 10:00:00+05:30,2022-05-16 11:25:00+05:30,2022-05-16,2022,2022-05
BALKRISIND,LONG,1987.35,2006.5667500000002,50,960.8375000000137,925.5402092157387,TSL,2022-05-16 11:30:00+05:30,2022-05-16 12:20:00+05:30,2022-05-16,2022,2022-05
APOLLOTYRE,LONG,209.1,210.3,478,573.6000000000081,538.2083138568081,EOD,2022-05-16 12:25:00+05:30,2022-05-16 15:15:00+05:30,2022-05-16,2022,2022-05
SAIL,SHORT,80.6,80.50049999999999,1240,123.38000000000761,88.18985187588763,TSL,2022-05-19 11:55:00+05:30,2022-05-19 13:20:00+05:30,2022-05-19,2022,2022-05
IDFCFIRSTB,SHORT,35.05,35.0,2853,142.6499999999919,107.4464584010919,EOD,2022-05-19 14:15:00+05:30,2022-05-19 15:15:00+05:30,2022-05-19,2022,2022-05
BALKRISIND,LONG,2133.3,2114.05,46,-885.5,-919.8332960506,EMA50_DYN,2022-05-20 10:45:00+05:30,2022-05-20 11:30:00+05:30,2022-05-20,2022,2022-05
AUBANK,LONG,648.8,654.7,154,908.600000000014,873.124622986014,EOD,2022-05-20 11:35:00+05:30,2022-05-20 15:15:00+05:30,2022-05-20,2022,2022-05
IDEA,LONG,9.2,9.15,10869,-543.4499999999884,-578.5378177298885,EMA50_DYN,2022-05-23 10:00:00+05:30,2022-05-23 12:00:00+05:30,2022-05-23,2022,2022-05
AUBANK,LONG,672.3,671.1,148,-177.5999999999899,-212.6182812431899,EMA50_DYN,2022-05-23 12:05:00+05:30,2022-05-23 14:40:00+05:30,2022-05-23,2022,2022-05
BATAINDIA,LONG,1743.85,1740.2,57,-208.04999999999222,-243.02398563209223,EMA50_DYN,2022-05-26 10:50:00+05:30,2022-05-26 11:35:00+05:30,2022-05-26,2022,2022-05
SAIL,LONG,71.1,72.38625,1406,1808.4675000000136,1772.7164414781587,TSL,2022-05-26 11:40:00+05:30,2022-05-26 12:25:00+05:30,2022-05-26,2022,2022-05
BANKBARODA,LONG,87.45,88.60475,1143,1319.8792499999918,1284.2720032235814,TSL,2022-05-26 12:30:00+05:30,2022-05-26 13:50:00+05:30,2022-05-26,2022,2022-05
APOLLOTYRE,LONG,212.75,213.8,470,493.50000000000534,458.1161908590053,EOD,2022-05-26 13:55:00+05:30,2022-05-26 15:15:00+05:30,2022-05-26,2022,2022-05
AUBANK,LONG,663.65,657.85,150,-869.9999999999932,-904.8366988499931,EMA50_DYN,2022-05-27 10:30:00+05:30,2022-05-27 13:35:00+05:30,2022-05-27,2022,2022-05
BANKINDIA,LONG,46.95,47.0,2129,106.44999999999395,71.18964528169394,EOD,2022-05-27 13:40:00+05:30,2022-05-27 15:15:00+05:30,2022-05-27,2022,2022-05
TORNTPOWER,LONG,437.55,452.86424999999997,171,2618.7367499999928,2591.616370740387,PARTIAL_PROFIT,2022-05-30 10:20:00+05:30,2022-05-30 13:30:00+05:30,2022-05-30,2022,2022-05
TORNTPOWER,LONG,437.55,446.755,57,524.684999999999,515.7445452729891,TSL,2022-05-30 10:20:00+05:30,2022-05-30 13:35:00+05:30,2022-05-30,2022,2022-05
BANKBARODA,LONG,93.8,94.0,1066,213.20000000000303,177.897019175203,EOD,2022-05-30 13:40:00+05:30,2022-05-30 15:15:00+05:30,2022-05-30,2022,2022-05
BATAINDIA,LONG,1858.9,1854.25,53,-246.45000000000482,-281.10362981070483,EMA50_DYN,2022-06-03 11:55:00+05:30,2022-06-03 12:35:00+05:30,2022-06-03,2022,2022-06
