sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t,exit_date,year,month
SRF,LONG,2377.5,2400.2,210,4766.999999999962,4589.665088357961,EMA50_DYN,2022-01-07 09:30:00+05:30,2022-01-07 09:55:00+05:30,2022-01-07,2022,2022-01
GLENMARK,LONG,516.6,514.15,967,-2369.150000000044,-2544.540059666544,EMA50_DYN,2022-01-07 10:25:00+05:30,2022-01-07 10:55:00+05:30,2022-01-07,2022,2022-01
PAGEIND,LONG,43617.0,44117.255249999995,11,5502.807749999942,5332.130815624891,TSL,2022-01-07 11:00:00+05:30,2022-01-07 15:05:00+05:30,2022-01-07,2022,2022-01
RECLTD,LONG,103.05,102.45,5209,-3125.3999999999705,-3313.6972395869707,EMA50_DYN,2022-01-28 10:50:00+05:30,2022-01-28 13:45:00+05:30,2022-01-28,2022,2022-01
PAGEIND,LONG,42980.95,42465.1786,12,-6189.256799999974,-6369.269935255937,SL,2022-01-28 14:05:00+05:30,2022-01-28 14:15:00+05:30,2022-01-28,2022,2022-01
BATAINDIA,LONG,2074.95,2075.65,258,180.6000000000704,-8.132323984729652,EOD,2022-01-28 15:00:00+05:30,2022-01-28 15:15:00+05:30,2022-01-28,2022,2022-01
GMRAIRPORT,LONG,41.75,42.1,11698,4094.3000000000166,3920.9935439302167,EOD,2022-01-31 11:00:00+05:30,2022-01-31 15:15:00+05:30,2022-01-31,2022,2022-01
SHRIRAMFIN,SHORT,223.35,218.88299999999998,2274,10157.95800000003,9981.855841035738,PARTIAL_PROFIT,2022-03-02 12:10:00+05:30,2022-03-02 12:50:00+05:30,2022-03-02,2022,2022-03
ASHOKLEY,SHORT,56.0,56.279999999999994,9072,-2540.1599999999457,-2719.943954300106,SL,2022-03-02 14:15:00+05:30,2022-03-02 14:40:00+05:30,2022-03-02,2022,2022-03
COFORGE,LONG,920.0,937.0,591,10047.0,9852.489085938,EOD,2022-03-03 10:55:00+05:30,2022-03-03 15:15:00+05:30,2022-03-03,2022,2022-03
GODREJPROP,SHORT,1392.45,1377.9052499999998,426,6196.063500000106,5988.768193039056,TSL,2022-03-07 12:15:00+05:30,2022-03-07 13:45:00+05:30,2022-03-07,2022,2022-03
AUBANK,LONG,556.5,564.81175,1120,9309.159999999956,9086.819193809797,TSL,2022-03-09 10:25:00+05:30,2022-03-09 13:00:00+05:30,2022-03-09,2022,2022-03
APOLLOTYRE,LONG,174.9,178.55274999999997,3565,13022.05374999989,12798.566157281242,TSL,2022-03-09 13:05:00+05:30,2022-03-09 14:30:00+05:30,2022-03-09,2022,2022-03
APOLLOTYRE,LONG,178.5,176.358,3493,-7482.005999999986,-7699.61845357663,SL,2022-03-09 14:35:00+05:30,2022-03-09 15:00:00+05:30,2022-03-09,2022,2022-03
CONCOR,LONG,477.8,476.0,1453,-2615.4000000000165,-2859.3388793364165,EMA50_DYN,2022-03-10 10:35:00+05:30,2022-03-10 13:55:00+05:30,2022-03-10,2022,2022-03
JINDALSTEL,LONG,458.15,470.55,1515,18786.00000000005,18535.986994407052,EOD,2022-03-10 14:00:00+05:30,2022-03-10 15:15:00+05:30,2022-03-10,2022,2022-03
SHRIRAMFIN,LONG,222.9,221.5,3467,-4853.800000000019,-5124.78361286482,EMA50_DYN,2022-03-16 10:40:00+05:30,2022-03-16 11:10:00+05:30,2022-03-16,2022,2022-03
BATAINDIA,LONG,1899.35,1895.05,406,-1745.7999999999815,-2017.0887673663815,EMA50_DYN,2022-03-16 11:15:00+05:30,2022-03-16 14:40:00+05:30,2022-03-16,2022,2022-03
ASHOKLEY,LONG,55.15,55.3,14013,2101.9499999999803,1828.9674875978803,EOD,2022-03-16 14:45:00+05:30,2022-03-16 15:15:00+05:30,2022-03-16,2022,2022-03
CONCOR,LONG,495.15,494.0,1507,-1733.0499999999656,-1995.5504839852656,EMA50_DYN,2022-03-17 10:10:00+05:30,2022-03-17 13:40:00+05:30,2022-03-17,2022,2022-03
IDFCFIRSTB,LONG,42.8,42.55,17436,-4359.0,-4620.7734523476,EMA50_DYN,2022-03-17 13:45:00+05:30,2022-03-17 14:40:00+05:30,2022-03-17,2022,2022-03
ESCORTS,LONG,1841.7,1837.0,405,-1903.5000000000184,-2165.8450624110183,EMA50_DYN,2022-03-17 14:45:00+05:30,2022-03-17 15:15:00+05:30,2022-03-17,2022,2022-03
AUBANK,LONG,616.5,618.9,1139,2733.599999999974,2485.328069144374,EOD,2022-03-23 11:05:00+05:30,2022-03-23 15:15:00+05:30,2022-03-23,2022,2022-03
GLENMARK,LONG,466.0,463.75,1533,-3449.25,-3700.0466898255,EMA50_DYN,2022-03-25 10:00:00+05:30,2022-03-25 10:35:00+05:30,2022-03-25,2022,2022-03
TATAPOWER,LONG,243.05,240.7,2941,-6911.350000000067,-7161.308023677567,EMA50_DYN,2022-03-25 10:55:00+05:30,2022-03-25 12:05:00+05:30,2022-03-25,2022,2022-03
BATAINDIA,LONG,1941.4,1936.5,368,-1803.2000000000335,-2054.4879923872336,EMA50_DYN,2022-03-25 12:10:00+05:30,2022-03-25 13:40:00+05:30,2022-03-25,2022,2022-03
BANKBARODA,LONG,100.75,100.25,7094,-3547.0,-3797.889426044,EMA50_DYN,2022-03-25 13:45:00+05:30,2022-03-25 14:10:00+05:30,2022-03-25,2022,2022-03
CONCOR,LONG,554.3,553.5,1289,-1031.1999999999414,-1282.7292248491412,EOD,2022-03-25 14:15:00+05:30,2022-03-25 15:15:00+05:30,2022-03-25,2022,2022-03
GMRAIRPORT,LONG,36.4,36.76525,17165,6269.516250000054,6047.507627129882,TSL,2022-03-29 10:30:00+05:30,2022-03-29 14:35:00+05:30,2022-03-29,2022,2022-03
BEL,LONG,69.25,69.15,9022,-902.1999999999487,-1122.1444365247487,EMA50_DYN,2022-03-29 14:40:00+05:30,2022-03-29 15:10:00+05:30,2022-03-29,2022,2022-03
GMRAIRPORT,LONG,37.45,37.000600000000006,17342,-7793.49479999995,-8020.166834928125,SL,2022-03-30 10:45:00+05:30,2022-03-30 11:20:00+05:30,2022-03-30,2022,2022-03
BHARATFORG,LONG,723.05,716.2,898,-6151.299999999918,-6378.386033908919,EMA50_DYN,2022-03-30 11:25:00+05:30,2022-03-30 12:05:00+05:30,2022-03-30,2022,2022-03
ASHOKLEY,LONG,55.6,55.2,11680,-4671.999999999984,-4899.547900543984,EMA50_DYN,2022-03-30 12:10:00+05:30,2022-03-30 12:50:00+05:30,2022-03-30,2022,2022-03
COFORGE,LONG,893.5,905.0,726,8349.0,8117.981383314,EOD,2022-03-30 12:55:00+05:30,2022-03-30 15:15:00+05:30,2022-03-30,2022,2022-03
RECLTD,LONG,96.25,98.4,6166,13256.900000000034,13043.933198710634,EOD,2022-04-04 10:45:00+05:30,2022-04-04 15:15:00+05:30,2022-04-04,2022,2022-04
GMRAIRPORT,LONG,39.65,39.4,16614,-4153.5,-4384.4871882942,EMA50_DYN,2022-04-05 10:35:00+05:30,2022-04-05 11:40:00+05:30,2022-04-05,2022,2022-04
ASHOKLEY,LONG,59.2,58.9,11128,-3338.4000000000474,-3569.6319457968475,EMA50_DYN,2022-04-05 11:45:00+05:30,2022-04-05 14:10:00+05:30,2022-04-05,2022,2022-04
ESCORTS,LONG,1804.45,1850.45,365,16790.0,16553.060831299,EOD,2022-04-05 14:15:00+05:30,2022-04-05 15:15:00+05:30,2022-04-05,2022,2022-04
PAGEIND,LONG,44730.0,45060.0,15,4950.0,4712.1055119,EOD,2022-04-08 10:35:00+05:30,2022-04-08 15:15:00+05:30,2022-04-08,2022,2022-04
BEL,LONG,85.75,85.85,8458,845.799999999952,589.933814427152,EMA50_DYN,2022-04-19 10:35:00+05:30,2022-04-19 14:25:00+05:30,2022-04-19,2022,2022-04
CANBK,LONG,45.23,44.687239999999996,16036,-8703.69936000002,-8956.844488849565,SL,2022-04-19 14:30:00+05:30,2022-04-19 14:55:00+05:30,2022-04-19,2022,2022-04
LICHSGFIN,LONG,374.9,370.40119999999996,1934,-8700.679200000033,-8953.736488178534,SL,2022-04-19 15:00:00+05:30,2022-04-19 15:05:00+05:30,2022-04-19,2022,2022-04
ASHOKLEY,LONG,61.3,61.0,10419,-3125.6999999999703,-3349.9110432761704,EMA50_DYN,2022-04-20 10:15:00+05:30,2022-04-20 11:30:00+05:30,2022-04-20,2022,2022-04
LICHSGFIN,LONG,371.85,371.2,1717,-1116.0500000000586,-1340.7593347081586,EMA50_DYN,2022-04-20 12:35:00+05:30,2022-04-20 13:15:00+05:30,2022-04-20,2022,2022-04
CUMMINSIND,LONG,1085.45,1105.19625,588,11610.794999999951,11382.52110283108,TSL,2022-04-20 13:20:00+05:30,2022-04-20 15:05:00+05:30,2022-04-20,2022,2022-04
CUMMINSIND,SHORT,999.3,998.5,672,537.5999999999694,301.0719245183695,EOD,2022-04-25 12:20:00+05:30,2022-04-25 15:15:00+05:30,2022-04-25,2022,2022-04
ESCORTS,LONG,1607.75,1598.75,419,-3771.0,-4007.348962311,EMA50_DYN,2022-04-26 10:45:00+05:30,2022-04-26 13:10:00+05:30,2022-04-26,2022,2022-04
BALKRISIND,LONG,2090.35,2132.285,322,13503.069999999982,13261.972201985762,TSL,2022-04-26 13:15:00+05:30,2022-04-26 15:05:00+05:30,2022-04-26,2022,2022-04
AUBANK,LONG,693.9,706.45,1037,13014.350000000071,12757.009553473372,EOD,2022-04-28 11:40:00+05:30,2022-04-28 15:15:00+05:30,2022-04-28,2022,2022-04
RBLBANK,LONG,122.15,120.6842,6416,-9404.572800000009,-9678.102674454556,SL,2022-05-04 11:05:00+05:30,2022-05-04 12:30:00+05:30,2022-05-04,2022,2022-05
CONCOR,LONG,520.5,515.8,1505,-7073.500000000068,-7347.569535719068,EMA50_DYN,2022-05-04 13:25:00+05:30,2022-05-04 14:10:00+05:30,2022-05-04,2022,2022-05
MFSL,LONG,732.5,728.5,953,-3812.0,-4056.945955258,EMA50_DYN,2022-05-05 10:30:00+05:30,2022-05-05 13:05:00+05:30,2022-05-05,2022,2022-05
APOLLOTYRE,LONG,203.25,202.2,3437,-3608.850000000039,-3854.029535052939,EMA50_DYN,2022-05-05 13:10:00+05:30,2022-05-05 13:55:00+05:30,2022-05-05,2022,2022-05
SRF,SHORT,2299.0,2310.495,286,-3287.569999999969,-3520.253112338789,SL,2022-05-06 11:20:00+05:30,2022-05-06 11:20:00+05:30,2022-05-06,2022,2022-05
GODREJPROP,SHORT,1422.0,1429.11,463,-3291.929999999954,-3524.921698428134,SL,2022-05-06 12:40:00+05:30,2022-05-06 12:45:00+05:30,2022-05-06,2022,2022-05
GODREJPROP,SHORT,1416.05,1423.1302499999997,465,-3292.3162499998843,-3525.335285899857,SL,2022-05-06 13:10:00+05:30,2022-05-06 13:25:00+05:30,2022-05-06,2022,2022-05
BALKRISIND,LONG,1962.75,1944.85,308,-5513.200000000028,-5724.688729020828,EMA50_DYN,2022-05-11 11:40:00+05:30,2022-05-11 13:10:00+05:30,2022-05-11,2022,2022-05
GODREJPROP,LONG,1374.0,1390.811,441,7413.650999999965,7197.96637016084,TSL,2022-05-11 13:40:00+05:30,2022-05-11 14:30:00+05:30,2022-05-11,2022,2022-05
AUBANK,LONG,636.2,637.8,952,1523.1999999999134,1309.2970963519133,EOD,2022-05-11 14:35:00+05:30,2022-05-11 15:15:00+05:30,2022-05-11,2022,2022-05
