sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t,exit_date,year,month
SRF,LONG,2377.5,2403.323,210,5422.829999999972,5245.307372760391,TSL,2022-01-07 09:30:00+05:30,2022-01-07 10:10:00+05:30,2022-01-07,2022,2022-01
GLENMARK,LONG,516.6,515.1,967,-1450.5,-1626.1530011814,TIME_EXIT,2022-01-07 10:25:00+05:30,2022-01-07 12:10:00+05:30,2022-01-07,2022,2022-01
AUBANK,LONG,599.4,605.6565,834,5217.921000000061,5040.2368815247155,TSL,2022-01-07 12:15:00+05:30,2022-01-07 13:15:00+05:30,2022-01-07,2022,2022-01
APOLLOTYRE,LONG,230.15,231.8,2172,3583.8000000000125,3406.5884732796126,TIME_EXIT,2022-01-07 13:20:00+05:30,2022-01-07 15:05:00+05:30,2022-01-07,2022,2022-01
RECLTD,LONG,103.05,103.0,5437,-271.84999999998456,-469.24500051008454,TIME_EXIT,2022-01-28 10:50:00+05:30,2022-01-28 12:35:00+05:30,2022-01-28,2022,2022-01
CASTROLIND,LONG,125.15,125.2,4477,223.8499999999873,26.308288669287293,TIME_EXIT,2022-01-28 12:40:00+05:30,2022-01-28 14:25:00+05:30,2022-01-28,2022,2022-01
BATAINDIA,LONG,2074.95,2075.65,270,189.00000000007367,-8.510571611926366,EOD,2022-01-28 15:00:00+05:30,2022-01-28 15:15:00+05:30,2022-01-28,2022,2022-01
GMRAIRPORT,LONG,41.75,41.8,13367,668.349999999962,471.46502019586205,TIME_EXIT,2022-01-31 11:00:00+05:30,2022-01-31 12:45:00+05:30,2022-01-31,2022,2022-01
CANBK,LONG,47.23,47.58,11816,4135.600000000017,3937.723508899057,TIME_EXIT,2022-01-31 12:55:00+05:30,2022-01-31 14:40:00+05:30,2022-01-31,2022,2022-01
BALKRISIND,LONG,2349.1,2329.65,237,-4609.649999999957,-4804.5535617074565,EOD,2022-01-31 14:45:00+05:30,2022-01-31 15:15:00+05:30,2022-01-31,2022,2022-01
SHRIRAMFIN,SHORT,223.35,218.88299999999998,2489,11118.363000000032,10925.61090076427,PARTIAL_PROFIT,2022-03-02 12:10:00+05:30,2022-03-02 12:50:00+05:30,2022-03-02,2022,2022-03
ASHOKLEY,SHORT,56.0,56.279999999999994,9930,-2780.3999999999405,-2977.1873309303405,SL,2022-03-02 14:15:00+05:30,2022-03-02 14:40:00+05:30,2022-03-02,2022,2022-03
COFORGE,LONG,920.0,921.0,647,647.0,437.021283298,TIME_EXIT,2022-03-03 10:55:00+05:30,2022-03-03 12:40:00+05:30,2022-03-03,2022,2022-03
GODREJPROP,LONG,1556.0,1537.328,382,-7132.70400000001,-7340.157083848906,SL,2022-03-03 12:45:00+05:30,2022-03-03 13:25:00+05:30,2022-03-03,2022,2022-03
COFORGE,LONG,929.0,936.5,641,4807.5,4596.242679477,TIME_EXIT,2022-03-03 13:30:00+05:30,2022-03-03 15:15:00+05:30,2022-03-03,2022,2022-03
GODREJPROP,SHORT,1392.45,1377.9052499999998,419,6094.250250000105,5890.361203951561,TSL,2022-03-07 12:15:00+05:30,2022-03-07 13:45:00+05:30,2022-03-07,2022,2022-03
AUBANK,LONG,556.5,562.5,1102,6612.0,6393.961702812,TIME_EXIT,2022-03-09 10:25:00+05:30,2022-03-09 12:10:00+05:30,2022-03-09,2022,2022-03
ASHOKLEY,LONG,49.0,49.6505,12525,8147.512500000013,7928.871866387188,TSL,2022-03-09 12:15:00+05:30,2022-03-09 13:25:00+05:30,2022-03-09,2022,2022-03
APOLLOTYRE,LONG,176.7,178.55274999999997,3473,6434.600749999951,6216.466573812482,TSL,2022-03-09 13:30:00+05:30,2022-03-09 14:30:00+05:30,2022-03-09,2022,2022-03
APOLLOTYRE,LONG,178.5,176.358,3438,-7364.195999999986,-7578.38197635169,SL,2022-03-09 14:35:00+05:30,2022-03-09 15:00:00+05:30,2022-03-09,2022,2022-03
CONCOR,LONG,477.8,481.45,1420,5182.999999999967,4942.386267489967,TIME_EXIT,2022-03-10 10:35:00+05:30,2022-03-10 12:20:00+05:30,2022-03-10,2022,2022-03
BALKRISIND,LONG,1986.85,1963.0077999999999,341,-8130.190200000016,-8366.65494454403,SL,2022-03-10 12:25:00+05:30,2022-03-10 13:20:00+05:30,2022-03-10,2022,2022-03
JINDALSTEL,LONG,454.95,465.0,1491,14984.550000000017,14741.182108428318,TIME_EXIT,2022-03-10 13:25:00+05:30,2022-03-10 15:10:00+05:30,2022-03-10,2022,2022-03
SHRIRAMFIN,LONG,222.9,224.3,3298,4617.200000000019,4356.782442774419,TIME_EXIT,2022-03-16 10:40:00+05:30,2022-03-16 12:25:00+05:30,2022-03-16,2022,2022-03
ASHOKLEY,LONG,54.5,55.322,13488,11087.136000000037,10824.8765180193,TSL,2022-03-16 12:30:00+05:30,2022-03-16 14:05:00+05:30,2022-03-16,2022,2022-03
ASHOKLEY,LONG,55.35,55.3,13281,-664.0500000000566,-922.9485775389566,EOD,2022-03-16 14:10:00+05:30,2022-03-16 15:15:00+05:30,2022-03-16,2022,2022-03
CONCOR,LONG,495.15,495.1,1628,-81.39999999992597,-365.489738701926,TIME_EXIT,2022-03-17 10:10:00+05:30,2022-03-17 11:55:00+05:30,2022-03-17,2022,2022-03
APOLLOTYRE,LONG,193.3,193.35,4171,208.54999999992887,-75.67563297597118,TIME_EXIT,2022-03-17 12:00:00+05:30,2022-03-17 13:45:00+05:30,2022-03-17,2022,2022-03
IDFCFIRSTB,LONG,42.8,42.7,18842,-1884.199999999893,-2167.891237965893,EOD,2022-03-17 13:50:00+05:30,2022-03-17 15:15:00+05:30,2022-03-17,2022,2022-03
AUBANK,LONG,616.5,615.75,1286,-964.5,-1243.654577211,TIME_EXIT,2022-03-23 11:05:00+05:30,2022-03-23 12:50:00+05:30,2022-03-23,2022,2022-03
ESCORTS,LONG,1853.5,1854.8,428,556.3999999999805,276.64127715758053,TIME_EXIT,2022-03-23 12:55:00+05:30,2022-03-23 14:40:00+05:30,2022-03-23,2022,2022-03
JINDALSTEL,LONG,510.95,509.2,1552,-2716.0,-2994.7150724528,EOD,2022-03-23 14:45:00+05:30,2022-03-23 15:15:00+05:30,2022-03-23,2022,2022-03
GLENMARK,LONG,466.0,460.408,1660,-9282.719999999974,-9552.705813305254,SL,2022-03-25 10:00:00+05:30,2022-03-25 10:55:00+05:30,2022-03-25,2022,2022-03
TATAPOWER,LONG,242.45,242.1,3190,-1116.4999999999818,-1388.772268476982,TIME_EXIT,2022-03-25 11:00:00+05:30,2022-03-25 12:45:00+05:30,2022-03-25,2022,2022-03
BATAINDIA,LONG,1947.0,1939.85,397,-2838.550000000036,-3110.168478655736,TIME_EXIT,2022-03-25 12:50:00+05:30,2022-03-25 14:35:00+05:30,2022-03-25,2022,2022-03
GODREJPROP,LONG,1630.05,1621.0,474,-4289.699999999979,-4560.791993680179,EOD,2022-03-25 14:40:00+05:30,2022-03-25 15:15:00+05:30,2022-03-25,2022,2022-03
GMRAIRPORT,LONG,36.4,36.75,18695,6543.250000000026,6301.534270629526,TIME_EXIT,2022-03-29 10:30:00+05:30,2022-03-29 12:15:00+05:30,2022-03-29,2022,2022-03
GMRAIRPORT,LONG,36.7,36.75,18542,927.0999999999473,686.9940849625473,TIME_EXIT,2022-03-29 12:20:00+05:30,2022-03-29 14:05:00+05:30,2022-03-29,2022,2022-03
JINDALSTEL,LONG,537.0,536.55,1267,-570.1500000000576,-809.7877475541576,EOD,2022-03-29 14:10:00+05:30,2022-03-29 15:15:00+05:30,2022-03-29,2022,2022-03
GMRAIRPORT,LONG,37.45,37.000600000000006,18996,-8536.802399999946,-8785.093368486603,SL,2022-03-30 10:45:00+05:30,2022-03-30 11:20:00+05:30,2022-03-30,2022,2022-03
BHARATFORG,LONG,723.05,714.3734,983,-8529.097800000007,-8777.164681936903,SL,2022-03-30 11:25:00+05:30,2022-03-30 12:25:00+05:30,2022-03-30,2022,2022-03
BHEL,LONG,50.45,50.25,14101,-2820.2000000000403,-3070.12553457824,TIME_EXIT,2022-03-30 12:30:00+05:30,2022-03-30 14:15:00+05:30,2022-03-30,2022,2022-03
ZEEL,LONG,295.85,294.0,2404,-4447.400000000054,-4696.799148264454,EOD,2022-03-30 14:20:00+05:30,2022-03-30 15:15:00+05:30,2022-03-30,2022,2022-03
RECLTD,LONG,96.25,97.6,6075,8201.249999999965,7992.817296142465,TIME_EXIT,2022-04-04 10:45:00+05:30,2022-04-04 12:30:00+05:30,2022-04-04,2022,2022-04
ASHOKLEY,LONG,58.2,58.2,10047,0.0,-206.0911612008,TIME_EXIT,2022-04-04 12:35:00+05:30,2022-04-04 14:20:00+05:30,2022-04-04,2022,2022-04
ASHOKLEY,LONG,58.1,58.05,10064,-503.2000000000429,-709.141140593643,EOD,2022-04-04 14:25:00+05:30,2022-04-04 15:15:00+05:30,2022-04-04,2022,2022-04
GMRAIRPORT,LONG,39.65,39.4,15640,-3910.0,-4127.445505292,TIME_EXIT,2022-04-05 10:35:00+05:30,2022-04-05 12:20:00+05:30,2022-04-05,2022,2022-04
ASHOKLEY,LONG,59.2,58.9,10475,-3142.5000000000446,-3360.1630690350444,TIME_EXIT,2022-04-05 12:25:00+05:30,2022-04-05 14:10:00+05:30,2022-04-05,2022,2022-04
ESCORTS,LONG,1804.45,1850.45,343,15778.0,15555.3420962618,EOD,2022-04-05 14:15:00+05:30,2022-04-05 15:15:00+05:30,2022-04-05,2022,2022-04
PAGEIND,LONG,44730.0,44987.5,14,3605.0,3383.2556638300002,TIME_EXIT,2022-04-08 10:35:00+05:30,2022-04-08 12:20:00+05:30,2022-04-08,2022,2022-04
ASHOKLEY,LONG,61.7,62.4,10704,7492.799999999955,7257.883094793555,TIME_EXIT,2022-04-08 12:25:00+05:30,2022-04-08 14:10:00+05:30,2022-04-08,2022,2022-04
ASHOKLEY,LONG,62.3,62.1,10601,-2120.199999999955,-2352.367353154355,EOD,2022-04-08 14:15:00+05:30,2022-04-08 15:15:00+05:30,2022-04-08,2022,2022-04
BEL,LONG,85.75,86.3,8185,4501.749999999976,4253.088199689477,TIME_EXIT,2022-04-19 10:35:00+05:30,2022-04-19 12:20:00+05:30,2022-04-19,2022,2022-04
BEL,LONG,86.25,86.1,8138,-1220.7000000000462,-1467.737543851846,TIME_EXIT,2022-04-19 12:25:00+05:30,2022-04-19 14:10:00+05:30,2022-04-19,2022,2022-04
BHARATFORG,LONG,740.7,731.8116,947,-8417.314800000044,-8662.1304986449,SL,2022-04-19 14:15:00+05:30,2022-04-19 14:55:00+05:30,2022-04-19,2022,2022-04
LICHSGFIN,LONG,374.9,370.40119999999996,1872,-8421.753600000033,-8666.69840013972,SL,2022-04-19 15:00:00+05:30,2022-04-19 15:05:00+05:30,2022-04-19,2022,2022-04
ASHOKLEY,LONG,61.3,60.9,10264,-4105.599999999986,-4326.181747740786,TIME_EXIT,2022-04-20 10:15:00+05:30,2022-04-20 12:00:00+05:30,2022-04-20,2022,2022-04
LICHSGFIN,LONG,371.85,367.3878,1692,-7550.042399999993,-7769.633676894411,SL,2022-04-20 12:35:00+05:30,2022-04-20 13:55:00+05:30,2022-04-20,2022,2022-04
CUMMINSIND,LONG,1090.5,1105.19625,577,8479.73624999998,8255.539810250088,TSL,2022-04-20 14:00:00+05:30,2022-04-20 15:05:00+05:30,2022-04-20,2022,2022-04
CUMMINSIND,SHORT,999.3,998.5,610,487.99999999997226,273.2944552919722,EOD,2022-04-25 12:20:00+05:30,2022-04-25 15:15:00+05:30,2022-04-25,2022,2022-04
