filter_type,threshold,exit_rule,trades,win_rate,gross_pnl,stt,net_return,sl_hits
none,0.0,none,21,38.095238095238095,12611.716304932344,3666.6235839843757,8.945092720947969,11
none,0.0,ema21,26,38.46153846153847,13780.183739013979,4541.100060546875,9.239083678467104,7
none,0.0,ema9,37,43.24324324324324,19923.691755371412,6463.045163476565,13.460646591894848,5
none,0.0,high2,58,36.206896551724135,6178.242140198094,10127.031029199217,-3.948788889001124,5
none,0.0,high1,21,38.095238095238095,12611.716304932344,3666.6235839843757,8.945092720947969,11
ema21,0.0,none,0,0.0,0.0,0.0,0.0,0
ema21,0.0,ema21,0,0.0,0.0,0.0,0.0,0
ema21,0.0,ema9,0,0.0,0.0,0.0,0.0,0
ema21,0.0,high2,0,0.0,0.0,0.0,0.0,0
ema21,0.0,high1,0,0.0,0.0,0.0,0.0,0
ema21,0.001,none,0,0.0,0.0,0.0,0.0,0
ema21,0.001,ema21,0,0.0,0.0,0.0,0.0,0
ema21,0.001,ema9,0,0.0,0.0,0.0,0.0,0
ema21,0.001,high2,0,0.0,0.0,0.0,0.0,0
ema21,0.001,high1,0,0.0,0.0,0.0,0.0,0
ema21,0.002,none,1,0.0,-2498.9250793456677,174.9247555541992,-2.673849834899867,1
ema21,0.002,ema21,1,0.0,-1039.984130859375,174.9247555541992,-1.2149088864135742,0
ema21,0.002,ema9,1,0.0,-617.46826171875,174.9247555541992,-0.7923930172729493,0
ema21,0.002,high2,1,0.0,-617.46826171875,174.9247555541992,-0.7923930172729493,0
ema21,0.002,high1,1,0.0,-2498.9250793456677,174.9247555541992,-2.673849834899867,1
ema21,0.003,none,10,40.0,-4199.072929687307,1745.9794566040039,-5.9450523862913105,5
ema21,0.003,ema21,11,36.36363636363637,-1554.721610107376,1920.530406604004,-3.4752520167113796,2
ema21,0.003,ema9,12,25.0,39.7740478515625,2095.019406604004,-2.0552453587524417,0
ema21,0.003,high2,13,23.076923076923077,-47.4178466796875,2269.1334190307616,-2.3165512657104492,0
ema21,0.003,high1,10,40.0,-4199.072929687307,1745.9794566040039,-5.9450523862913105,5
ema21,0.004,none,16,50.0,751.5720483401992,2796.2207076904288,-2.0446486593502295,7
ema21,0.004,ema21,20,55.00000000000001,11791.037737426861,3495.1808611511233,8.295856876275739,3
ema21,0.004,ema9,27,40.74074074074074,9482.271044311548,4718.436125592043,4.763834918719505,1
ema21,0.004,high2,32,31.25,6191.941162109375,5589.538345593263,0.6024028165161116,0
ema21,0.004,high1,16,50.0,751.5720483401992,2796.2207076904288,-2.0446486593502295,7
ema21,0.005,none,17,41.17647058823529,1079.504638977572,2970.757724490356,-1.8912530855127836,8
ema21,0.005,ema21,22,36.36363636363637,6780.346528625569,3844.5690454925534,2.9357774831330152,3
ema21,0.005,ema9,33,36.36363636363637,9516.293670654297,5765.968313403321,3.7503253572509756,0
ema21,0.005,high2,37,37.83783783783784,17377.64324951172,6462.497892996217,10.915145356515502,0
