engine,ema50_exit,min_hold,rsi_exit,long_rsi,train_ret,train_pf,train_n,train_dd,val_ret,val_pf,val_n,val_dd
LONG,True,4,True,72.0,-6.9,0.98,372,-47.4,69.5,1.35,147,-14.2
LONG,True,4,True,78.0,31.7,1.07,299,-42.7,48.2,1.22,89,-26.7
LONG,True,4,False,999.0,75.0,1.15,263,-37.4,76.1,1.28,77,-20.4
LONG,True,12,True,72.0,-32.3,0.91,367,-69.3,26.3,1.19,144,-13.7
LONG,True,12,True,78.0,-8.2,0.98,288,-64.0,25.0,1.16,88,-23.5
LONG,True,12,False,999.0,10.3,1.03,255,-62.2,29.2,1.17,76,-17.3
LONG,True,20,True,72.0,-38.5,0.9,352,-69.9,36.8,1.32,139,-8.1
LONG,True,20,True,78.0,-1.2,1.0,276,-61.8,45.5,1.29,85,-17.3
LONG,True,20,False,999.0,3.5,1.01,242,-62.0,48.8,1.33,73,-15.3
LONG,False,0,True,72.0,-38.0,0.88,278,-67.1,57.2,1.51,111,-13.7
LONG,False,0,True,78.0,-33.8,0.87,216,-69.3,21.2,1.21,65,-20.4
LONG,False,0,False,999.0,-15.7,0.94,194,-64.8,38.6,1.35,55,-15.6
