engine,rsi_exit,short_rsi,short_sl,train_ret,train_pf,train_n,train_dd,val_ret,val_pf,val_n,val_dd
SHORT,True,15.0,0.005,6.7,1.09,50,-18.6,13.5,1.43,23,-16.3
SHORT,True,15.0,0.008,-3.9,0.95,44,-18.1,-2.7,0.93,19,-22.0
SHORT,True,15.0,0.01,-7.3,0.91,42,-17.7,1.0,1.03,18,-20.4
SHORT,True,17.0,0.005,7.6,1.1,51,-18.6,13.6,1.43,24,-16.4
SHORT,True,17.0,0.008,-2.9,0.97,45,-18.1,-2.8,0.93,19,-22.2
SHORT,True,17.0,0.01,-6.3,0.93,43,-17.7,1.0,1.03,18,-20.6
SHORT,True,20.0,0.005,13.1,1.17,53,-18.6,8.0,1.22,24,-17.2
SHORT,True,20.0,0.008,-1.1,0.99,45,-18.1,-0.6,0.98,19,-22.6
SHORT,True,20.0,0.01,-4.6,0.95,43,-17.7,3.2,1.09,18,-21.0
SHORT,False,999.0,0.005,10.6,1.15,50,-18.6,14.0,1.43,23,-16.9
SHORT,False,999.0,0.008,-3.9,0.95,44,-18.1,-2.7,0.93,19,-22.0
SHORT,False,999.0,0.01,-7.3,0.91,42,-17.7,1.0,1.03,18,-20.4
