engine,long_sl,long_pt,long_pp_frac,train_ret,train_pf,train_n,train_dd,val_ret,val_pf,val_n,val_dd
LONG_SLPT,0.008,0.015,0.25,53.5,1.12,311,-38.8,60.4,1.26,87,-31.9
LONG_SLPT,0.008,0.015,0.5,50.8,1.11,311,-38.0,54.1,1.24,87,-31.6
LONG_SLPT,0.008,0.015,0.75,47.0,1.1,311,-37.5,47.7,1.22,87,-31.2
LONG_SLPT,0.008,0.02,0.25,58.9,1.12,288,-39.5,61.7,1.26,81,-32.4
LONG_SLPT,0.008,0.02,0.5,59.3,1.12,288,-39.5,56.2,1.24,81,-32.5
LONG_SLPT,0.008,0.02,0.75,60.6,1.12,288,-39.5,50.7,1.21,81,-32.7
LONG_SLPT,0.008,0.025,0.25,59.4,1.13,277,-39.5,63.0,1.27,78,-32.5
LONG_SLPT,0.008,0.025,0.5,60.7,1.13,277,-39.5,58.6,1.25,78,-32.7
LONG_SLPT,0.008,0.025,0.75,62.0,1.13,277,-39.5,54.4,1.23,78,-32.8
LONG_SLPT,0.008,0.035,0.25,62.3,1.13,268,-39.5,69.9,1.29,77,-32.6
LONG_SLPT,0.008,0.035,0.5,67.2,1.14,268,-39.5,72.9,1.29,77,-33.0
LONG_SLPT,0.008,0.035,0.75,72.6,1.15,268,-39.5,76.1,1.29,77,-33.3
LONG_SLPT,0.01,0.015,0.25,62.5,1.13,293,-37.4,71.7,1.28,88,-19.5
LONG_SLPT,0.01,0.015,0.5,55.3,1.12,293,-38.4,62.7,1.26,88,-21.3
LONG_SLPT,0.01,0.015,0.75,47.0,1.1,293,-39.8,53.1,1.23,88,-23.3
LONG_SLPT,0.01,0.02,0.25,69.2,1.14,273,-38.0,72.3,1.28,80,-20.0
LONG_SLPT,0.01,0.02,0.5,67.6,1.14,273,-39.5,62.9,1.25,80,-21.2
LONG_SLPT,0.01,0.02,0.75,67.0,1.13,273,-40.7,53.9,1.21,80,-23.3
LONG_SLPT,0.01,0.025,0.25,75.0,1.15,263,-37.4,76.1,1.28,77,-20.4
LONG_SLPT,0.01,0.025,0.5,79.8,1.16,263,-38.3,70.0,1.26,77,-20.7
LONG_SLPT,0.01,0.025,0.75,84.7,1.17,263,-39.3,63.3,1.23,77,-22.8
LONG_SLPT,0.01,0.035,0.25,77.2,1.16,252,-36.1,85.5,1.31,77,-20.4
LONG_SLPT,0.01,0.035,0.5,84.6,1.17,252,-36.0,89.5,1.31,77,-20.7
LONG_SLPT,0.01,0.035,0.75,91.4,1.18,252,-36.0,92.9,1.31,77,-21.0
LONG_SLPT,0.012,0.015,0.25,65.4,1.13,284,-35.5,124.5,1.49,87,-14.3
LONG_SLPT,0.012,0.015,0.5,59.9,1.12,284,-35.7,114.2,1.46,87,-14.0
LONG_SLPT,0.012,0.015,0.75,54.1,1.11,284,-36.2,103.0,1.42,87,-14.2
LONG_SLPT,0.012,0.02,0.25,76.4,1.14,264,-35.1,131.1,1.49,80,-14.7
LONG_SLPT,0.012,0.02,0.5,81.1,1.15,264,-35.1,126.4,1.46,80,-14.8
LONG_SLPT,0.012,0.02,0.75,85.8,1.15,264,-35.2,121.0,1.42,80,-15.0
LONG_SLPT,0.012,0.025,0.25,76.9,1.14,252,-36.7,129.6,1.48,75,-14.8
LONG_SLPT,0.012,0.025,0.5,83.3,1.15,252,-37.0,124.0,1.45,75,-15.0
LONG_SLPT,0.012,0.025,0.75,90.1,1.16,252,-37.8,118.2,1.42,75,-15.3
LONG_SLPT,0.012,0.035,0.25,76.8,1.14,241,-36.7,140.1,1.51,75,-14.6
LONG_SLPT,0.012,0.035,0.5,84.0,1.15,241,-36.7,146.1,1.51,75,-14.8
LONG_SLPT,0.012,0.035,0.75,90.7,1.16,241,-36.7,151.4,1.51,75,-15.0
