engine,short_pt,short_target_gap,train_ret,train_pf,train_n,train_dd,val_ret,val_pf,val_n,val_dd
SHORT_PT,0.015,-0.008,22.0,1.23,74,-27.5,16.6,1.22,48,-33.7
SHORT_PT,0.015,-0.012,-21.4,0.79,71,-40.1,17.9,1.5,33,-13.8
SHORT_PT,0.015,-0.015,-0.7,0.99,51,-18.6,16.9,1.56,25,-15.3
SHORT_PT,0.015,-0.02,-1.0,0.98,31,-16.4,38.8,3.94,17,-8.3
SHORT_PT,0.02,-0.008,17.6,1.16,75,-27.6,13.0,1.18,47,-32.7
SHORT_PT,0.02,-0.012,-16.0,0.85,71,-40.1,16.5,1.42,32,-14.8
SHORT_PT,0.02,-0.015,6.5,1.09,51,-18.6,21.9,1.66,24,-16.3
SHORT_PT,0.02,-0.02,6.1,1.14,31,-14.5,45.1,4.12,16,-8.9
SHORT_PT,0.025,-0.008,20.6,1.18,75,-27.6,8.5,1.12,46,-33.7
SHORT_PT,0.025,-0.012,-17.9,0.83,71,-40.1,14.2,1.4,31,-14.3
SHORT_PT,0.025,-0.015,7.6,1.1,51,-18.6,13.6,1.43,24,-16.4
SHORT_PT,0.025,-0.02,11.4,1.25,31,-13.4,36.9,3.53,16,-9.3
SHORT_PT,0.035,-0.008,20.0,1.18,74,-27.6,5.8,1.09,45,-33.6
SHORT_PT,0.035,-0.012,-18.3,0.82,70,-40.1,9.9,1.29,31,-14.2
SHORT_PT,0.035,-0.015,8.9,1.12,50,-18.6,13.8,1.43,24,-16.6
SHORT_PT,0.035,-0.02,12.7,1.29,30,-13.4,37.3,3.53,16,-9.4
