engine,bull_gap,bull_br,nbull,nbear,train_ret,train_pf,train_n,train_dd,val_ret,val_pf,val_n,val_dd,bear_gap,bear_br,maxpos
REGIME_BULL,0.005,0.3,345.0,65.0,-3.8,1.0,721,-71.1,-7.0,0.98,199,-48.7,,,
REGIME_BULL,0.005,0.35,305.0,66.0,1.0,1.0,649,-69.9,-13.4,0.96,174,-50.0,,,
REGIME_BULL,0.007,0.3,175.0,65.0,37.5,1.05,387,-57.1,56.1,1.18,111,-29.1,,,
REGIME_BULL,0.007,0.35,143.0,66.0,94.8,1.16,313,-36.8,120.0,1.3,100,-26.2,,,
REGIME_BULL,0.007,0.4,121.0,66.0,16.4,1.04,267,-61.7,45.8,1.22,96,-21.7,,,
REGIME_BULL,0.01,0.35,56.0,66.0,50.3,1.19,134,-25.4,109.1,1.6,68,-18.6,,,
REGIME_BULL,0.01,0.4,47.0,66.0,41.1,1.18,124,-25.4,111.4,1.84,58,-14.8,,,
REGIME_BEAR,,,,92.0,1.0,1.01,56,-22.9,9.7,1.27,27,-15.5,-0.004,0.4,
REGIME_BEAR,,,,72.0,7.7,1.1,52,-18.6,13.6,1.38,26,-16.5,-0.006,0.35,
REGIME_BEAR,,,,66.0,7.6,1.1,51,-18.6,13.6,1.43,24,-16.4,-0.006,0.4,
REGIME_BEAR,,,,61.0,4.3,1.06,49,-18.6,13.2,1.42,24,-16.0,-0.006,0.5,
REGIME_BEAR,,,,50.0,-6.2,0.9,44,-21.1,17.7,1.81,22,-14.5,-0.008,0.4,
MAXPOS_LONG,,,,,75.0,1.15,263,-37.4,76.1,1.28,77,-20.4,,,1.0
MAXPOS_LONG,,,,,17.8,1.04,501,-42.2,59.8,1.38,141,-13.1,,,2.0
MAXPOS_LONG,,,,,29.5,1.08,719,-43.1,94.4,1.57,207,-10.7,,,3.0
