bg,bb,mp,xg,ndays,t_ret,t_pf,t_dd,t_n,v_ret,v_pf,v_dd,v_n
0.005,0.3,1,-0.004,345,54.4,1.04,-45.9,660,-9.3,0.98,-60.7,176
0.005,0.3,1,-0.008,345,67.3,1.04,-47.3,658,10.1,1.02,-58.6,176
0.005,0.3,1,-0.012,345,79.6,1.05,-48.1,660,15.9,1.02,-59.7,176
0.005,0.3,2,-0.004,345,71.0,1.06,-49.3,1253,13.3,1.02,-49.4,327
0.005,0.3,2,-0.008,345,97.3,1.08,-50.4,1258,8.6,1.01,-53.2,326
0.005,0.3,2,-0.012,345,110.4,1.09,-52.5,1259,2.9,1.0,-55.4,327
0.005,0.3,3,-0.004,345,62.2,1.06,-42.7,1811,30.4,1.05,-36.1,479
0.005,0.3,3,-0.008,345,84.4,1.08,-42.6,1811,42.8,1.06,-38.3,480
0.005,0.3,3,-0.012,345,83.7,1.08,-43.7,1813,36.5,1.06,-38.6,482
0.005,0.35,1,-0.004,305,55.4,1.04,-45.6,584,3.6,1.01,-57.4,151
0.005,0.35,1,-0.008,305,76.4,1.05,-47.0,581,4.1,1.01,-60.4,151
0.005,0.35,1,-0.012,305,74.2,1.05,-47.8,583,8.6,1.01,-59.6,151
0.005,0.35,2,-0.004,305,38.6,1.04,-48.4,1122,23.2,1.05,-44.7,276
0.005,0.35,2,-0.008,305,65.5,1.06,-48.7,1123,26.5,1.05,-48.3,274
0.005,0.35,2,-0.012,305,69.7,1.06,-50.7,1124,21.8,1.04,-49.2,275
0.005,0.35,3,-0.004,305,35.2,1.04,-42.6,1621,39.1,1.09,-33.9,406
0.005,0.35,3,-0.008,305,51.1,1.06,-43.3,1618,47.0,1.1,-35.9,405
0.005,0.35,3,-0.012,305,45.7,1.05,-43.7,1620,40.6,1.09,-35.4,407
0.005,0.4,1,-0.004,260,52.6,1.04,-40.8,508,74.5,1.15,-37.4,126
0.005,0.4,1,-0.008,260,72.5,1.05,-45.1,506,84.0,1.15,-39.0,126
0.005,0.4,1,-0.012,260,69.5,1.05,-45.3,508,82.7,1.15,-38.8,126
0.005,0.4,2,-0.004,260,26.3,1.03,-46.9,973,66.6,1.19,-25.2,231
0.005,0.4,2,-0.008,260,53.8,1.05,-47.5,975,79.5,1.19,-27.5,229
0.005,0.4,2,-0.012,260,57.2,1.06,-47.5,976,80.7,1.19,-27.8,229
0.005,0.4,3,-0.004,260,19.2,1.02,-42.5,1406,78.1,1.25,-18.5,338
0.005,0.4,3,-0.008,260,34.7,1.04,-44.9,1408,95.1,1.27,-19.4,337
0.005,0.4,3,-0.012,260,31.3,1.04,-44.9,1411,86.1,1.25,-19.3,338
0.007,0.3,1,-0.004,175,119.3,1.13,-40.3,324,149.2,1.35,-34.4,90
0.007,0.3,1,-0.008,175,152.7,1.17,-40.4,322,171.9,1.35,-36.1,90
0.007,0.3,1,-0.012,175,136.4,1.16,-40.3,323,161.0,1.35,-35.3,90
0.007,0.3,2,-0.004,175,61.4,1.1,-44.3,619,119.1,1.41,-16.1,160
0.007,0.3,2,-0.008,175,70.4,1.12,-45.8,622,107.8,1.37,-16.8,160
0.007,0.3,2,-0.012,175,69.6,1.12,-46.1,622,107.4,1.37,-16.7,160
0.007,0.3,3,-0.004,175,50.1,1.09,-44.0,896,110.7,1.44,-13.1,237
