rg,rb,mp,tg,ndays,t_ret,t_pf,t_dd,t_n,v_ret,v_pf,v_dd,v_n
-0.004,0.35,1,-0.015,109,-1.2,0.98,-21.2,60,16.0,1.41,-16.6,29
-0.004,0.35,1,-0.02,109,6.9,1.15,-11.7,37,32.2,2.33,-10.7,20
-0.004,0.35,1,-0.025,109,43.1,2.98,-8.0,23,23.7,1.88,-5.7,15
-0.004,0.35,2,-0.015,109,3.0,1.05,-11.9,88,14.6,1.47,-10.6,44
-0.004,0.35,2,-0.02,109,-0.2,1.0,-9.8,58,26.2,2.43,-6.4,31
-0.004,0.35,2,-0.025,109,15.9,1.86,-4.0,35,10.9,1.73,-3.9,21
-0.004,0.35,3,-0.015,109,-1.5,0.97,-8.9,105,20.0,1.9,-7.7,52
-0.004,0.35,3,-0.02,109,2.2,1.08,-5.8,65,20.4,2.37,-5.7,38
-0.004,0.35,3,-0.025,109,8.5,1.58,-3.5,39,7.5,1.67,-3.4,24
-0.004,0.4,1,-0.015,92,-2.4,0.97,-20.7,57,14.1,1.37,-16.5,28
-0.004,0.4,1,-0.02,92,2.0,1.04,-14.0,36,30.8,2.33,-10.2,20
-0.004,0.4,1,-0.025,92,36.7,2.71,-8.0,22,22.6,1.88,-5.5,15
-0.004,0.4,2,-0.015,92,2.4,1.04,-11.9,85,15.2,1.52,-10.5,42
-0.004,0.4,2,-0.02,92,-2.5,0.93,-10.5,57,25.6,2.44,-6.3,31
-0.004,0.4,2,-0.025,92,13.3,1.72,-6.1,34,10.6,1.72,-3.9,21
-0.004,0.4,3,-0.015,92,-2.0,0.96,-8.9,102,20.4,1.95,-7.7,50
-0.004,0.4,3,-0.02,92,0.6,1.02,-7.3,64,20.1,2.37,-5.6,38
-0.004,0.4,3,-0.025,92,6.8,1.46,-5.0,38,7.4,1.67,-3.4,24
-0.004,0.5,1,-0.015,78,-1.5,0.98,-20.7,55,17.3,1.48,-16.6,27
-0.004,0.5,1,-0.02,78,3.0,1.07,-13.3,34,34.7,2.69,-10.3,19
-0.004,0.5,1,-0.025,78,35.5,2.66,-8.0,21,22.4,1.88,-5.5,15
-0.004,0.5,2,-0.015,78,2.8,1.05,-12.3,83,16.9,1.59,-10.5,41
-0.004,0.5,2,-0.02,78,-2.0,0.94,-10.1,55,27.4,2.65,-6.3,30
-0.004,0.5,2,-0.025,78,12.8,1.7,-6.1,33,10.6,1.72,-3.8,21
-0.004,0.5,3,-0.015,78,-1.7,0.96,-9.2,100,21.5,2.04,-7.7,49
-0.004,0.5,3,-0.02,78,0.9,1.03,-6.7,62,21.3,2.53,-5.6,37
-0.004,0.5,3,-0.025,78,6.5,1.44,-5.0,37,7.4,1.67,-3.4,24
-0.006,0.35,1,-0.015,72,4.0,1.06,-16.2,53,18.3,1.48,-17.5,27
-0.006,0.35,1,-0.02,72,3.0,1.07,-13.3,34,34.7,2.69,-10.3,19
