Date & Time,Symbol,P&L,Price,Buy/Sell,Qty,Trigger
13-04-2026 12:30,NSE_SBIN,0.00,1055.50,BUY,23,EN
13-04-2026 14:00,NSE_SBIN,242.65,1066.05,SELL,-23,TP
17-04-2026 11:20,NSE_SBIN,242.65,1068.00,BUY,23,EN
17-04-2026 11:55,NSE_SBIN,292.10,1070.15,SELL,-23,EX
20-04-2026 10:20,NSE_SBIN,292.10,1110.10,BUY,22,EN
20-04-2026 12:20,NSE_SBIN,366.90,1113.50,SELL,-22,EX
21-04-2026 11:40,NSE_SBIN,366.90,1111.00,BUY,22,EN
21-04-2026 11:55,NSE_SBIN,341.60,1109.85,SELL,-22,EX
24-04-2026 11:45,NSE_SBIN,341.60,1095.75,BUY,22,EN
24-04-2026 12:30,NSE_SBIN,298.70,1093.80,SELL,-22,EX
27-04-2026 14:00,NSE_SBIN,298.70,1111.45,BUY,22,EN
27-04-2026 14:40,NSE_SBIN,283.30,1110.75,SELL,-22,EX
28-04-2026 09:15,NSE_SBIN,283.30,1100.80,BUY,22,EN
28-04-2026 09:25,NSE_SBIN,284.40,1100.85,SELL,-22,EX
29-04-2026 10:40,NSE_SBIN,284.40,1097.85,BUY,22,EN
29-04-2026 11:20,NSE_SBIN,265.70,1097.00,SELL,-22,EX
30-04-2026 14:35,NSE_SBIN,265.70,1070.80,BUY,23,EN
30-04-2026 15:10,NSE_SBIN,203.60,1068.10,SELL,-23,EX
04-05-2026 10:35,NSE_SBIN,203.60,1080.30,BUY,23,EN
04-05-2026 12:05,NSE_SBIN,150.70,1078.00,SELL,-23,EX
05-05-2026 13:25,NSE_SBIN,150.70,1066.00,BUY,23,EN
05-05-2026 14:55,NSE_SBIN,28.80,1060.70,SELL,-23,EX
06-05-2026 15:00,NSE_SBIN,28.80,1097.50,BUY,22,EN
06-05-2026 15:15,NSE_SBIN,-63.60,1093.30,SELL,-22,SO
07-05-2026 13:15,NSE_SBIN,-63.60,1094.40,BUY,22,EN
07-05-2026 13:25,NSE_SBIN,-41.60,1095.40,SELL,-22,EX
12-05-2026 14:15,NSE_SBIN,-41.60,973.10,BUY,25,EN
12-05-2026 15:15,NSE_SBIN,-31.60,973.50,SELL,-25,SO
13-05-2026 11:20,NSE_SBIN,-31.60,970.20,BUY,25,EN
13-05-2026 11:30,NSE_SBIN,25.90,972.50,SELL,-25,EX
14-05-2026 12:15,NSE_SBIN,25.90,982.00,BUY,25,EN
14-05-2026 14:00,NSE_SBIN,70.90,983.80,SELL,-25,EX
15-05-2026 13:30,NSE_SBIN,70.90,970.40,BUY,25,EN
15-05-2026 13:45,NSE_SBIN,-49.10,965.60,SELL,-25,EX
18-05-2026 13:30,NSE_SBIN,-49.10,941.70,BUY,26,EN
18-05-2026 14:40,NSE_SBIN,-75.10,940.70,SELL,-26,EX
19-05-2026 10:20,NSE_SBIN,-75.10,947.00,BUY,26,EN
19-05-2026 11:40,NSE_SBIN,-72.50,947.10,SELL,-26,EX
20-05-2026 11:35,NSE_SBIN,-72.50,948.40,BUY,26,EN
20-05-2026 12:20,NSE_SBIN,-90.70,947.70,SELL,-26,EX
25-05-2026 10:55,NSE_SBIN,-90.70,961.60,BUY,25,EN
25-05-2026 12:15,NSE_SBIN,-83.20,961.90,SELL,-25,EX
26-05-2026 10:15,NSE_SBIN,-83.20,975.00,BUY,25,EN
26-05-2026 11:20,NSE_SBIN,-203.20,970.20,SELL,-25,EX
02-06-2026 13:35,NSE_SBIN,-203.20,958.75,BUY,26,EN
02-06-2026 14:55,NSE_SBIN,-287.70,955.50,SELL,-26,EX
03-06-2026 13:10,NSE_SBIN,-287.70,950.70,BUY,26,EN
03-06-2026 14:00,NSE_SBIN,-40.70,960.20,SELL,-26,TP
04-06-2026 09:30,NSE_SBIN,-40.70,970.80,BUY,25,EN
04-06-2026 10:00,NSE_SBIN,201.80,980.50,SELL,-25,TP
05-06-2026 10:20,NSE_SBIN,201.80,988.75,BUY,25,EN
05-06-2026 10:35,NSE_SBIN,-4.45,980.50,SELL,-25,EX
08-06-2026 09:15,NSE_SBIN,-4.45,973.90,BUY,25,EN
08-06-2026 09:25,NSE_SBIN,190.55,981.70,SELL,-25,EX
09-06-2026 10:55,NSE_SBIN,190.55,990.00,BUY,25,EN
09-06-2026 12:10,NSE_SBIN,438.05,999.90,SELL,-25,TP
10-06-2026 10:25,NSE_SBIN,438.05,1007.80,BUY,24,EN
10-06-2026 10:30,NSE_SBIN,482.45,1009.65,SELL,-24,EX
